X,Y,(B-V)_0,(U-B)_0,M_V=m_v-5logd+5-A_V,m_U,m_B,m_V,m_R,Radius,U-B,B-V,V-R
194.3,729.25,0.57,0.31,7.69,16.57,16.26,15.69,15.35,18,0.31,0.57,0.34
79.07,733.54,1.33,0.89,6.84,17.06,16.17,14.84,14.14,18.7,0.89,1.33,0.7
822.35,770.29,0.66,0.16,6.18,15,14.84,14.18,13.87,14.5,0.16,0.66,0.31
760.13,771.01,0.46,0.1,7.92,16.48,16.38,15.92,15.74,14.8,0.1,0.46,0.18
451.51,782.49,0.98,0.46,7.84,17.28,16.82,15.84,15.32,16.4,0.46,0.98,0.52
1051.35,785.01,0.15,-0.14,2.26,10.27,10.41,10.26,10.21,13.3,-0.14,0.15,0.05
1399.1,787.52,0.52,0.28,5.97,14.77,14.49,13.97,13.74,11.9,0.28,0.52,0.23
624.94,796.2,0.35,0.07,4.31,12.73,12.66,12.31,12.18,15.4,0.07,0.35,0.13
460.41,800.67,0.89,0.19,7.1,16.18,15.99,15.1,14.64,16.2,0.19,0.89,0.46
825.46,803.48,0.19,-0.04,2.53,10.68,10.72,10.53,10.49,14.3,-0.04,0.19,0.04
269.36,815.12,1.37,2.08,8,19.45,17.37,16,15.18,17.3,2.08,1.37,0.82
1994.19,816.1,0.64,0.08,5.6,14.32,14.24,13.6,13.28,10.3,0.08,0.64,0.32
1044.49,819.84,1.12,0.59,7.01,16.72,16.13,15.01,14.39,13.2,0.59,1.12,0.62
1551.52,825.37,0.55,0.07,5.46,14.08,14.01,13.46,13.2,11.2,0.07,0.55,0.26
1874.89,836.28,0.89,0.49,7.57,16.95,16.46,15.57,15.09,10.3,0.49,0.89,0.48
1192.72,846.55,1.23,0.73,5.99,15.95,15.22,13.99,13.35,12.4,0.73,1.23,0.64
1154.89,852.66,0.56,0.28,7.26,16.1,15.82,15.26,15.01,12.5,0.28,0.56,0.25
856.46,865.57,0.53,0.22,4.58,13.33,13.11,12.58,12.37,13.8,0.22,0.53,0.21
1895.97,866.07,0.79,0.24,7.91,16.94,16.7,15.91,15.42,10.1,0.24,0.79,0.49
1687.86,872.12,1.11,0.47,7.28,16.86,16.39,15.28,14.96,10.5,0.47,1.11,0.32
1976.61,877.27,0.65,0.2,7.28,16.13,15.93,15.28,14.9,9.9,0.2,0.65,0.38
1479.09,880.1,0.18,-0.01,3.37,11.54,11.55,11.37,11.4,11.1,-0.01,0.18,-0.03
1685.24,883.6,1.06,0.54,6.55,16.15,15.61,14.55,13.98,10.4,0.54,1.06,0.57
1565.98,888.07,0.6,0.07,5.87,14.54,14.47,13.87,13.58,10.7,0.07,0.6,0.29
316.7,894.55,0.92,0.27,7.9,17.09,16.82,15.9,15.42,16.7,0.27,0.92,0.48
463.58,903.31,1.07,0.36,7.72,17.15,16.79,15.72,15.23,15.8,0.36,1.07,0.49
949.37,914.33,0.68,0.15,6.67,15.5,15.35,14.67,14.32,13.1,0.15,0.68,0.35
636.22,919.03,0.68,0.37,7.01,16.06,15.69,15.01,14.66,14.7,0.37,0.68,0.35
1038.44,924.11,0.29,-0.2,4.99,13.08,13.28,12.99,12.88,12.7,-0.2,0.29,0.11
1725.4,928.24,0.54,0.1,5.55,14.19,14.09,13.55,13.28,10,0.1,0.54,0.27
994.94,942.66,0.44,0.24,7.22,15.9,15.66,15.22,15.01,12.8,0.24,0.44,0.21
1279.49,953.98,0.92,0.41,6.87,16.2,15.79,14.87,14.42,11.4,0.41,0.92,0.45
214.56,958.13,0.32,0.15,3.98,12.45,12.3,11.98,11.91,17,0.15,0.32,0.07
1804.92,961.06,0.96,0.66,7.63,17.25,16.59,15.63,15.06,9.6,0.66,0.96,0.57
1175.65,962.97,0.27,0.13,3.9,12.3,12.17,11.9,11.81,11.8,0.13,0.27,0.09
578.35,976.57,1.36,0.81,7.07,17.24,16.43,15.07,14.36,14.8,0.81,1.36,0.71
1050.46,999.11,0.66,0.21,7.93,16.8,16.59,15.93,15.55,12.2,0.21,0.66,0.38
1819.74,1010.98,0.89,0.27,7.45,16.61,16.34,15.45,15.06,9.2,0.27,0.89,0.39
1457.69,1020.52,0.63,0.08,5.89,14.6,14.52,13.89,13.59,10.3,0.08,0.63,0.3
88.1,1027.48,1.38,0.98,7.97,18.33,17.35,15.97,15.27,17.5,0.98,1.38,0.7
875.04,1034.32,0.55,0.31,7.14,16,15.69,15.14,14.96,12.9,0.31,0.55,0.18
1549.77,1053.43,0.26,0.15,3.85,12.26,12.11,11.85,11.8,9.8,0.15,0.26,0.05
1930.06,1058.83,0.93,0.51,7.98,17.42,16.91,15.98,15.43,8.7,0.51,0.93,0.55
19.02,1060.22,0.77,0.2,6.61,15.58,15.38,14.61,14.2,17.8,0.2,0.77,0.41
796.39,1068.52,0.41,0.13,5.25,13.79,13.66,13.25,13.1,13.2,0.13,0.41,0.15
1909.66,1078.79,0.66,0.09,6.07,14.82,14.73,14.07,13.75,8.6,0.09,0.66,0.32
1093.23,1086.11,0.68,0.15,7.14,15.97,15.82,15.14,14.77,11.6,0.15,0.68,0.37
368.32,1095.21,0.78,0.18,5.86,14.82,14.64,13.86,13.48,15.6,0.18,0.78,0.38
1593.03,1111.47,0.69,0.18,6.78,15.65,15.47,14.78,14.43,9.2,0.18,0.69,0.35
1061.06,1112.92,0.09,0.01,3.26,11.36,11.35,11.26,11.22,11.6,0.01,0.09,0.04
1958.09,1117.12,0.66,0.22,7.74,16.62,16.4,15.74,15.46,8.2,0.22,0.66,0.28
863.16,1148.15,1,0.71,7.95,17.66,16.95,15.95,15.41,12.5,0.71,1,0.54
1173.65,1153.62,0.38,0.11,5.25,13.74,13.63,13.25,13.08,10.8,0.11,0.38,0.17
1443.99,1159.36,0.8,0.23,7.31,16.34,16.11,15.31,14.92,9.5,0.23,0.8,0.39
1651.23,1186.08,0.65,0.11,5.64,14.4,14.29,13.64,13.33,8.6,0.11,0.65,0.31
237.47,1205.76,0.97,1.21,7.64,17.82,16.61,15.64,15.08,16,1.21,0.97,0.56
52.44,1207.47,1.46,1.23,7.19,17.88,16.65,15.19,14.45,17.2,1.23,1.46,0.74
977.92,1213.73,0.84,0.15,7.83,16.82,16.67,15.83,15.47,11.6,0.15,0.84,0.36
569.81,1217.63,1.3,0.92,6.65,16.87,15.95,14.65,13.96,13.9,0.92,1.3,0.69
243.94,1226.8,0.63,0.33,5.75,14.71,14.38,13.75,13.44,15.9,0.33,0.63,0.31
354.74,1229,0.91,0.31,7.58,16.8,16.49,15.58,15.15,15.2,0.31,0.91,0.43
1078.84,1243.19,0.69,0.41,6.69,15.79,15.38,14.69,14.37,10.9,0.41,0.69,0.32
202.16,1246.08,0.57,0.11,5.56,14.24,14.13,13.56,13.28,16.1,0.11,0.57,0.28
1796.56,1265.75,0.22,0.11,3.77,12.1,11.99,11.77,11.65,7.6,0.11,0.22,0.12
43.64,1266.36,0.8,0.25,5.48,14.53,14.28,13.48,13.09,17,0.25,0.8,0.39
845.96,1270.11,0.1,-0.25,2.47,10.32,10.57,10.47,10.44,12.1,-0.25,0.1,0.03
715.87,1275.74,0.15,0.06,-0.44,7.77,7.71,7.56,7.61,12.8,0.06,0.15,-0.05
715.87,1275.74,0.15,0.06,-0.44,7.77,7.71,7.56,7.61,12.8,0.06,0.15,-0.05
245.08,1277.54,0.87,0.26,7.19,16.32,16.06,15.19,14.79,15.7,0.26,0.87,0.4
1289.94,1278.86,0.73,0.23,6.46,15.42,15.19,14.46,14.08,9.6,0.23,0.73,0.38
1511.12,1283.62,0.47,0.21,4.88,13.56,13.35,12.88,12.71,8.5,0.21,0.47,0.17
453.97,1290.83,1.29,1.12,7.23,17.64,16.52,15.23,14.57,14.4,1.12,1.29,0.66
1683.27,1307.65,0.6,0.08,5.67,14.35,14.27,13.67,13.39,7.7,0.08,0.6,0.28
1263.21,1316.19,0.64,0.11,5.97,14.72,14.61,13.97,13.66,9.6,0.11,0.64,0.31
1337.46,1326.94,0.81,0.31,7.72,16.84,16.53,15.72,15.29,9.1,0.31,0.81,0.43
1712.18,1329.8,0.67,0.13,5.58,14.38,14.25,13.58,13.25,7.5,0.13,0.67,0.33
1162.04,1344.19,0.43,0.18,4.86,13.47,13.29,12.86,12.7,10,0.18,0.43,0.16
1871.87,1346.16,0.56,0.09,5.39,14.04,13.95,13.39,13.13,6.9,0.09,0.56,0.26
